name,team
PACHER Quentin,Groupama - FDJ
PADUN Mark,EF Education-EasyPost
PAGE Hugo,Intermarché - Wanty - Gobert Matériaux
PAJUR Markus,Team Arkéa Samsic
PALZER Anton,BORA - hansgrohe
PAQUOT Tom,Bingoal Pauwels Sauces WB
PARET-PEINTRE Aurélien,AG2R Citroën Team
PARET-PEINTRE Valentin,AG2R Citroën Team
PARISELLA Raphael,B&B Hotels - KTM
PARRA José Félix,Equipo Kern Pharma
PASQUALON Andrea,Intermarché - Wanty - Gobert Matériaux
PEDERSEN Casper,Team DSM
PEDERSEN Mads,Trek - Segafredo
PEDRERO Antonio,Movistar Team
PELEGRÍ Óscar,Burgos-BH
PELLAUD Simon,Trek - Segafredo
PELLIZZARI Giulio,Bardiani-CSF-Faizanè
PEREZ Anthony,Cofidis
PERNSTEINER Hermann,Bahrain - Victorious
PERON Andrea,Team Novo Nordisk
PETERS Nans,AG2R Citroën Team
PETILLI Simone,Intermarché - Wanty - Gobert Matériaux
PETIT Adrien,Intermarché - Wanty - Gobert Matériaux
PEYSKENS Dimitri,Bingoal Pauwels Sauces WB
PEÁK Barnabás,Intermarché - Wanty - Gobert Matériaux
PEÑA Jesús David,Team BikeExchange - Jayco
PEÑALVER Manuel,Burgos-BH
PHILIPSEN Jasper,Alpecin-Deceuninck
PHIPPEN Logan,Team Novo Nordisk
PICCOLI James,Israel - Premier Tech
PICCOLO Andrea,Gazprom - RusVelo
PICHON Laurent,Team Arkéa Samsic
PIDCOCK Thomas,INEOS Grenadiers
PINARELLO Alessandro,Bardiani-CSF-Faizanè
PINOT Thibaut,Groupama - FDJ
PIRA Yesid Albeiro,Caja Rural - Seguros RGA
PLANCKAERT Baptiste,Intermarché - Wanty - Gobert Matériaux
PLANCKAERT Edward,Alpecin-Deceuninck
PLANET Charles,Team Novo Nordisk
PLAPP Luke,INEOS Grenadiers
POELS Wout,Bahrain - Victorious
POGAČAR Tadej,UAE Team Emirates
POLANC Jan,UAE Team Emirates
POLI Umberto,Team Novo Nordisk
POLITT Nils,BORA - hansgrohe
PONOMAR Andrii,Drone Hopper -  Androni Giocattoli
PORTE Richie,INEOS Grenadiers
POWLESS Neilson,EF Education-EasyPost
POZZOVIVO Domenico,Intermarché - Wanty - Gobert Matériaux
PRADES Eduard,Caja Rural - Seguros RGA
PRICE-PEJTERSEN Johan,Bahrain - Victorious
PRODHOMME Nicolas,AG2R Citroën Team
PRONSKIY Vadim,Astana Qazaqstan Team
PUCCIO Salvatore,INEOS Grenadiers
PÉRICHON Pierre-Luc,Cofidis
PÖSTLBERGER Lukas,BORA - hansgrohe
QUINN Sean,EF Education-EasyPost
QUINTANA Dayer,Team Arkéa Samsic
QUINTANA Nairo,Team Arkéa Samsic
RANGEL COSTA Vinicius,Movistar Team
RASTELLI Luca,Bardiani-CSF-Faizanè
RAUGEL Antoine,AG2R Citroën Team
RAVANELLI Simone,Drone Hopper -  Androni Giocattoli
RAVASI Edward,EOLO-Kometa
REICHENBACH Sébastien,Groupama - FDJ
RENARD Alexis,Cofidis
RESELL Erik Nordsæter,Uno-X Pro Cycling Team
RESTREPO Jhonatan,Drone Hopper -  Androni Giocattoli
RETAILLEAU Valentin,AG2R Citroën Team
REX Laurenz,Bingoal Pauwels Sauces WB
REYNDERS Jens,Sport Vlaanderen - Baloise
RIABUSHENKO Alexandr,Astana Qazaqstan Team
RICHEZE Maximiliano,UAE Team Emirates
RICKAERT Jonas,Alpecin-Deceuninck
RIDOLFO Filippo,Team Novo Nordisk
RIES Michel,Team Arkéa Samsic
RIESEBEEK Oscar,Alpecin-Deceuninck
RIKUNOV Petr,Gazprom - RusVelo
RIOU Alan,Team Arkéa Samsic
RIVERA Brandon Smith,INEOS Grenadiers
RIVERA Kevin,Gazprom - RusVelo
RIVI Samuele,EOLO-Kometa
ROBEET Ludovic,Bingoal Pauwels Sauces WB
ROCHAS Rémy,Cofidis
RODENBERG Frederik,Team DSM
RODRÍGUEZ Carlos,INEOS Grenadiers
RODRÍGUEZ Cristián,TotalEnergies
RODRÍGUEZ Óscar,Movistar Team
ROGLIČ Primož,Jumbo-Visma
ROJAS Brandon Alejandro,Drone Hopper -  Androni Giocattoli
ROJAS José Joaquín,Movistar Team
ROLLAND Pierre,B&B Hotels - KTM
ROMO Javier,Astana Qazaqstan Team
ROOSEN Timo,Jumbo-Visma
ROPERO Alejandro,EOLO-Kometa
ROSA Diego,EOLO-Kometa
ROSSKOPF Joey,Human Powered Health
ROTA Lorenzo,Intermarché - Wanty - Gobert Matériaux
ROUX Anthony,Groupama - FDJ
ROVNY Ivan,Gazprom - RusVelo
ROWE Luke,INEOS Grenadiers
RUBIO Diego,Burgos-BH
RUBIO Einer Augusto,Movistar Team
RUIZ Ibon,Equipo Kern Pharma
RUSSO Clément,Team Arkéa Samsic
RUTSCH Jonas,EF Education-EasyPost
RÄIM Mihkel,Burgos-BH
SAGAN Juraj,TotalEnergies
SAGAN Peter,TotalEnergies
SAGIV Guy,Israel - Premier Tech
SAJNOK Szymon,Cofidis
SAMITIER Sergio,Movistar Team
SANTAROMITA Alessandro,Bardiani-CSF-Faizanè
SARREAU Marc,AG2R Citroën Team
SAUGSTAD Lars,Uno-X Pro Cycling Team
SBARAGLI Kristian,Alpecin-Deceuninck
SCARONI Christian,Gazprom - RusVelo
SCHACHMANN Maximilian,BORA - hansgrohe
SCHELLING Ide,BORA - hansgrohe
SCHLEGEL Michal,Caja Rural - Seguros RGA
SCHMID Mauro,Quick-Step Alpha Vinyl Team
SCHULTZ Nick,Team BikeExchange - Jayco
SCHWARZMANN Michael,Lotto Soudal
SCHÄR Michael,AG2R Citroën Team
SCHÖNBERGER Sebastian,B&B Hotels - KTM
SCOTSON Callum,Team BikeExchange - Jayco
SCOTSON Miles,Groupama - FDJ
SCULLY Tom,EF Education-EasyPost
SELIG Rüdiger,Lotto Soudal
SEPÚLVEDA Eduardo,Drone Hopper -  Androni Giocattoli
SERRANO Gonzalo,Movistar Team
SERRY Pieter,Quick-Step Alpha Vinyl Team
SEVILLA Diego Pablo,EOLO-Kometa
SHAW James,EF Education-EasyPost
SHEFFIELD Magnus,INEOS Grenadiers
SIMMONS Quinn,Trek - Segafredo
SIMON Julien,TotalEnergies
SINKELDAM Ramon,Groupama - FDJ
SIVAKOV Pavel,INEOS Grenadiers
SKAARSETH Anders,Uno-X Pro Cycling Team
SKAARSETH Iver,Uno-X Pro Cycling Team
SKJELMOSE JENSEN Mattias,Trek - Segafredo
SKUJIŅŠ Toms,Trek - Segafredo
SLEEN Torjus,Uno-X Pro Cycling Team
SMITH Dion,Team BikeExchange - Jayco
SOBRERO Matteo,Team BikeExchange - Jayco
SOLER Marc,UAE Team Emirates
SOSA Iván Ramiro,Movistar Team
SOTO Antonio Jesús,Euskaltel - Euskadi
SOUPE Geoffrey,TotalEnergies
STANNARD Robert,Alpecin-Deceuninck
STEELS Stijn,Quick-Step Alpha Vinyl Team
STEIMLE Jannik,Quick-Step Alpha Vinyl Team
STEINHAUSER Georg,EF Education-EasyPost
STEWART Campbell,Team BikeExchange - Jayco
STEWART Jake,Groupama - FDJ
STORER Michael,Groupama - FDJ
STORK Florian,Team DSM
STRAKHOV Dmitry,Gazprom - RusVelo
STRONG Corbin,Israel - Premier Tech
STUYVEN Jasper,Trek - Segafredo
SUTER Joel,UAE Team Emirates
SVRČEK Martin,Quick-Step Alpha Vinyl Team
SWEENY Harry,Lotto Soudal
SWIFT Ben,INEOS Grenadiers
SWIFT Connor,Team Arkéa Samsic
SWIRBUL Keegan,Human Powered Health
SÁNCHEZ Eugenio,Equipo Kern Pharma
SÁNCHEZ Luis León,Bahrain - Victorious
SÁNCHEZ Pelayo,Burgos-BH
SÉNÉCHAL Florian,Quick-Step Alpha Vinyl Team
SÜTTERLIN Jasha,Bahrain - Victorious
TAARAMÄE Rein,Intermarché - Wanty - Gobert Matériaux
TAGLIANI Filippo,Drone Hopper -  Androni Giocattoli
TAMINIAUX Lionel,Alpecin-Deceuninck
TAROZZI Manuele,Bardiani-CSF-Faizanè
TEJADA Harold,Astana Qazaqstan Team
TERPSTRA Niki,TotalEnergies
TESFATSION Natnael,Drone Hopper -  Androni Giocattoli
TEUNISSEN Mike,Jumbo-Visma
TEUNS Dylan,Bahrain - Victorious
THEUNS Edward,Trek - Segafredo
THIJSSEN Gerben,Intermarché - Wanty - Gobert Matériaux
THOMAS Benjamin,Cofidis
THOMAS Geraint,INEOS Grenadiers
THWAITES Scott,Alpecin-Deceuninck
TIBERI Antonio,Trek - Segafredo
TIETEMA Bas,Bingoal Pauwels Sauces WB
TILLER Rasmus,Uno-X Pro Cycling Team
TIZZA Marco,Bingoal Pauwels Sauces WB
TOLHOEK Antwan,Trek - Segafredo
TOLIO Alex,Bardiani-CSF-Faizanè
TONELLI Alessandro,Bardiani-CSF-Faizanè
TORRES Albert,Movistar Team
TOUMIRE Hugo,Cofidis
TOUZÉ Damien,AG2R Citroën Team
TRAININI Tomas,Bardiani-CSF-Faizanè
TRATNIK Jan,Bahrain - Victorious
TRENTIN Matteo,UAE Team Emirates
TROIA Oliviero,UAE Team Emirates
TRÆEN Torstein,Uno-X Pro Cycling Team
TULETT Ben,INEOS Grenadiers
TURGIS Anthony,TotalEnergies
TURNER Ben,INEOS Grenadiers
TUSVELD Martijn,Team DSM
UIJTDEBROEKS Cian,BORA - hansgrohe
ULISSI Diego,UAE Team Emirates
UMBA Santiago,Drone Hopper -  Androni Giocattoli
URIANSTAD Martin,Uno-X Pro Cycling Team
URÁN Rigoberto,EF Education-EasyPost
VACEK Mathias,Gazprom - RusVelo
VADER Milan,Jumbo-Visma
VALGREN Michael,EF Education-EasyPost
VALTER Attila,Groupama - FDJ
VALVERDE Alejandro,Movistar Team
VAN AERT Wout,Jumbo-Visma
VAN ASBROECK Tom,Israel - Premier Tech
VAN AVERMAET Greg,AG2R Citroën Team
VAN BAARLE Dylan,INEOS Grenadiers
VAN DEN BERG Julius,EF Education-EasyPost
VAN DEN BERG Lars,Groupama - FDJ
VAN DEN BERG Marijn,EF Education-EasyPost
VAN DEN BOSSCHE Fabio,Alpecin-Deceuninck
VAN DER HOORN Taco,Intermarché - Wanty - Gobert Matériaux
VAN DER POEL David,Alpecin-Deceuninck
VAN DER POEL Mathieu,Alpecin-Deceuninck
VAN DER SANDE Tosh,Jumbo-Visma
VAN DER TUUK Danny,Equipo Kern Pharma
VAN DIJKE Mick,Jumbo-Visma
VAN DIJKE Tim,Jumbo-Visma
VAN EMDEN Jos,Jumbo-Visma
VAN GESTEL Dries,TotalEnergies
VAN GILS Maxim,Lotto Soudal
VAN HOECKE Gijs,AG2R Citroën Team
VAN HOOYDONCK Nathan,Jumbo-Visma
VAN KEIRSBULCK Guillaume,Alpecin-Deceuninck
VAN KESSEL Corné,Intermarché - Wanty - Gobert Matériaux
VAN LERBERGHE Bert,Quick-Step Alpha Vinyl Team
VAN MELSEN Kévin,Intermarché - Wanty - Gobert Matériaux
VAN MOER Brent,Lotto Soudal
VAN POPPEL Boy,Intermarché - Wanty - Gobert Matériaux
VAN POPPEL Danny,BORA - hansgrohe
VAN POUCKE Aaron,Sport Vlaanderen - Baloise
VAN ROOY Kenneth,Sport Vlaanderen - Baloise
VAN TRICHT Stan,Quick-Step Alpha Vinyl Team
VAN WILDER Ilan,Quick-Step Alpha Vinyl Team
VANBILSEN Kenneth,Cofidis
VANDENABEELE Henri,Team DSM
VANHOOF Ward,Sport Vlaanderen - Baloise
VANHOUCKE Harm,Lotto Soudal
VANMARCKE Sep,Israel - Premier Tech
VANSEVENANT Mauri,Quick-Step Alpha Vinyl Team
VAUQUELIN Kévin,Team Arkéa Samsic
VELASCO Simone,Astana Qazaqstan Team
VENDRAME Andrea,AG2R Citroën Team
VENNER Quentin,Bingoal Pauwels Sauces WB
VENTURINI Clément,AG2R Citroën Team
VERGAERDE Otto,Trek - Segafredo
VERMAERKE Kevin,Team DSM
VERMEERSCH Florian,Lotto Soudal
VERMEERSCH Gianni,Alpecin-Deceuninck
VERMOTE Julien,Alpecin-Deceuninck
VERNON Ethan,Quick-Step Alpha Vinyl Team
VERONA Carlos,Movistar Team
VERRE Alessandro,Team Arkéa Samsic
VERSCHAEVE Viktor,Lotto Soudal
VERVAEKE Louis,Quick-Step Alpha Vinyl Team
VERVLOESEM Xandres,Lotto Soudal
VERWILST Aaron,Sport Vlaanderen - Baloise
VIEGAS Daniel,EOLO-Kometa
VIGO Martí,Drone Hopper -  Androni Giocattoli
VILLELLA Davide,Cofidis
VINE Jay,Alpecin-Deceuninck
VINGEGAARD Jonas,Jumbo-Visma
VISCONTI Giovanni,Bardiani-CSF-Faizanè
VIVIANI Attilio,Bingoal Pauwels Sauces WB
VIVIANI Elia,INEOS Grenadiers
VLASOV Aleksandr,BORA - hansgrohe
VLIEGEN Loïc,Intermarché - Wanty - Gobert Matériaux
VUILLERMOZ Alexis,TotalEnergies
WALLAYS Jelle,Cofidis
WALLS Matthew,BORA - hansgrohe
WALSCHEID Max,Cofidis
WANDAHL Frederik,BORA - hansgrohe
WARBASSE Larry,AG2R Citroën Team
WARLOP Jordi,B&B Hotels - KTM
WEEMAES Sasha,Sport Vlaanderen - Baloise
WELLENS Tim,Lotto Soudal
WELSFORD Sam,Team DSM
WELTEN Bram,Groupama - FDJ
WILLIAMS Stephen,Bahrain - Victorious
WIRTGEN Luc,Bingoal Pauwels Sauces WB
WIRTGEN Tom,Bingoal Pauwels Sauces WB
WIŚNIOWSKI Łukasz,EF Education-EasyPost
WOODS Michael,Israel - Premier Tech
WRIGHT Fred,Bahrain - Victorious
WURF Cameron,INEOS Grenadiers
WÆRENSKJOLD Søren,Uno-X Pro Cycling Team
WÆRSTED Syver,Uno-X Pro Cycling Team
WÜRTZ SCHMIDT Mads,Israel - Premier Tech
YATES Adam,INEOS Grenadiers
YATES Simon,Team BikeExchange - Jayco
ZABEL Rick,Israel - Premier Tech
ZAKARIN Ilnur,Gazprom - RusVelo
ZAKHAROV Artyom,Astana Qazaqstan Team
ZAMBANINI Edoardo,Bahrain - Victorious
ZANA Filippo,Bardiani-CSF-Faizanè
ZANONCELLO Enrico,Bardiani-CSF-Faizanè
ZARDINI Edoardo,Drone Hopper -  Androni Giocattoli
ZEITS Andrey,Astana Qazaqstan Team
ZIMMERMANN Georg,Intermarché - Wanty - Gobert Matériaux
ZINGLE Axel,Cofidis
ZOCCARATO Samuele,Bardiani-CSF-Faizanè
ZUKOWSKY Nickolas,Human Powered Health
ZURITA Ricardo Alejandro,Drone Hopper -  Androni Giocattoli
ZWIEHOFF Ben,BORA - hansgrohe
ČERNÝ Josef,Quick-Step Alpha Vinyl Team
ŘEPA Vojtěch,Equipo Kern Pharma
ŠTYBAR Zdeněk,Quick-Step Alpha Vinyl Team
